"GeoName","Territory1","Sovereign1","ISO_Ter1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Albanian Exclusive Economic Zone","Albania","Albania","ALB",12165.6105921,NA,0.0273197306966582,0.715,26.1673,-38,NA,NA,0.59,53,2,7,17,26,27
"Algerian Exclusive Economic Zone","Algeria","Algeria","DZA",131184.423485,13.36301231,0.146128030368743,0.658,6.8276,-33,-0.67237,-1.01217,-1.37,70,4,9,19,32,38
"Angolan Exclusive Economic Zone","Angola","Angola","AGO",495861.858053,38.43154907,1.10957743314384,0.482,3.80397,-19,1.00366,-0.95824,-2.28,83,4,6,19,29,54
"Antigua and Barbuda Exclusive Economic Zone","Antigua and Barbuda","Antigua and Barbuda","ATG",111560.086278,38.99983978,0.964169911041676,0.694,51.8374,NA,NA,NA,0.95,52,3,1,9,13,39
"Argentinean Exclusive Economic Zone","Argentina","Argentina","ARG",1072785.76611,24.00326347,0.272954388005673,0.808,10.2544,-39,-0.9929,-0.23569,-0.05,88,4,5,22,31,57
"Joint regime area Australia / East Timor","Australia","Australia","AUS",35039.0162075,NA,0.0686420409834342,0.939,11.0011,-77,NA,NA,2.6,75,3,4,23,30,45
"Australian Exclusive Economic Zone","Australia","Australia","AUS",6870741.53364,NA,0.0686420409834342,0.939,11.0011,-77,NA,NA,2.6,327,4,11,46,61,266
"Azerbaijanis Exclusive Economic Zone","Azerbaijan","Azerbaijan","AZE",80576.1964994,37.33695602,NA,0.723,14.5897,-31,NA,NA,-0.3,0,0,0,0,0,0
"Bahamas Exclusive Economic Zone","Bahamas","Bahamas","BHS",618667.242186,39.77394867,1.19137785902963,0.715,47.8318,-65,-0.86415,2.28833,NA,97,2,2,15,19,78
"Bahraini Exclusive Economic Zone","Bahrain","Bahrain","BHR",7515.05531597,33.00471115,0.39571883805828,0.717,9.73195,-36,-0.37187,-0.19808,1.15,41,1,3,16,20,21
"Bangladeshi Exclusive Economic Zone","Bangladesh","Bangladesh","BGD",112302.620749,24.33461761,0.506820665361845,0.457,4.34892,-28,0.43304,-1.16183,-2.27,83,4,6,26,36,47
"Barbados Exclusive Economic Zone","Barbados","Barbados","BRB",185006.191263,26.29351616,0.13799404157334,0.773,40.6047,-68,-1.57584,1.69884,1.63,44,2,1,10,13,31
"Joint regime area Guyana / Barbados","Barbados","Barbados","BRB",67.1575217265,26.29351616,0.13799404157334,0.773,40.6047,-68,-1.57584,1.69884,1.63,0,0,0,0,0,0
"Belgian Exclusive Economic Zone","Belgium","Belgium","BEL",3491.7011964,NA,0.0263385779994005,0.841,5.61732,-75,NA,NA,2.48,27,1,0,8,9,18
"Belizean Exclusive Economic Zone","Belize","Belize","BLZ",34310.002032,44.58584595,22.6006349112531,0.704,41.3356,NA,NA,NA,-0.7,54,3,2,9,14,40
"Beninese Exclusive Economic Zone","Benin","Benin","BEN",35528.368644,32.77273178,0.956699703317461,0.414,5.66285,-39,0.60937,-0.58802,-1.71,83,4,7,18,29,54
"Bosnian and Herzegovinian Exclusive Economic Zone","Bosnia and Herzegovina","Bosnia and Herzegovina","BIH",12.9796793791,NA,0.000406513350199624,0.694,9.62736,-38,NA,NA,0.39,0,0,0,0,0,0
"Brazilian Exclusive Economic Zone","Brazil","Brazil","BRA",3205100.30771,19.62733459,0.0624925028051878,0.681,7.901,-37,-0.67563,-0.67676,-0.59,146,5,8,34,47,99
"Bruneian Exclusive Economic Zone","Brunei","Brunei","BRN",43137.5920732,30.51885986,0.17986018712772,0.716,8.96116,-62,-1.0229,0.4,2.41,92,2,9,31,42,50
"Bulgarian Exclusive Economic Zone","Bulgaria","Bulgaria","BGR",34752.8122073,NA,0.0331388322030504,0.778,11.4895,-43,NA,NA,1.14,3,0,0,1,1,2
"Cambodian Exclusive Economic Zone","Cambodia","Cambodia","KHM",48697.2172266,37.57493973,1.14432732215628,0.459,32.398,-21,0.9065,0.11393,-1.14,85,3,6,30,39,46
"Cameroonian Exclusive Economic Zone","Cameroon","Cameroon","CMR",15140.979128,20.24989128,0.415938414518058,0.493,7.17247,-25,0.2497,-1.21321,-2.08,86,4,7,21,32,54
"Disputed area: Canada / USA","Canada","Canada","CAN",23372.5712709,NA,0.141376104031839,0.89,6.49323,-82,NA,NA,2.99,0,0,0,0,0,0
"Canadian Exclusive Economic Zone","Canada","Canada","CAN",5769849.28296,NA,0.141376104031839,0.89,6.49323,-82,NA,NA,2.99,64,0,4,14,18,46
"Cape Verdean Exclusive Economic Zone","Cape Verde","Cape Verde","CPV",801936.702842,37.57040405,6.11762448207537,0.534,44.8993,-55,0.43885,2.17145,NA,38,0,0,15,15,23
"Chilean Exclusive Economic Zone","Chile","Chile","CHL",2465054.67659,25.77706718,1.22981301732689,0.784,10.4371,-67,-1.36783,0.66993,1.56,77,0,2,16,18,59
