FID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,species_na,code,Shape_Leng,Shape_Area,area
0,44655,Rajella nigerrima,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Rajella,nigerrima,LC,71.62846715,7.737540103,90176.29688
1,161485,Mustelus punctulatus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,punctulatus,DD,617.2624371,213.923736,2130100
2,39345,Haploblepharus edwardsii,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Haploblepharus,edwardsii,NT,48.72097838,26.92283719,278582
3,195434,Hydrolagus marmoratus,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CHIMAERIFORMES,CHIMAERIDAE,Hydrolagus,marmoratus,LC,38.67370407,20.35215469,223596
4,44590,Scyliorhinus hesperius,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Scyliorhinus,hesperius,DD,70.15098727,34.63991588,415849
5,63140,Psammobatis scobina,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Psammobatis,scobina,DD,53.81183548,17.87699352,164603
6,161473,Galeus longirostris,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Galeus,longirostris,DD,35.21093065,17.49926472,186341
7,161649,Etmopterus brachyurus,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Etmopterus,brachyurus,DD,161.8749246,81.44167686,887783
8,161334,Mustelus californicus,1,1,1,GMSA,2009,International Union for Conservation of Nature, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,californicus,LC,129.6343649,44.23200098,473496
9,39771,Dipturus laevis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,laevis,EN,151.3670903,57.08100155,507421
10,41718,Apristurus albisoma,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,albisoma,LC,23.15237714,18.07193446,202729
11,161674,Hexatrygon bickelli,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,HEXATRYGONIDAE,Hexatrygon,bickelli,LC,502.2749382,315.174646,3506120
12,39406,Dasyatis garouaensis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,DASYATIDAE,Dasyatis,garouaensis,VU,42.95590873,7.55687833,92503.10156
13,43270317,Trygonorrhina dumerilli,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RHINOBATIDAE,Trygonorrhina,dumerilli,LC,161.7459456,82.73263755,829072
14,161715,Mustelus griseus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,griseus,DD,630.0194349,203.5764638,2158330
15,161397,Torpedo torpedo,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,TORPEDINIDAE,Torpedo,torpedo,DD,738.2729751,177.9652419,1865720
16,161705,Galeus murinus,1,1,1,GMSA,2015,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Galeus,murinus,LC,398.7760492,169.4445547,1245150
17,60116,Gymnura natalensis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,GYMNURIDAE,Gymnura,natalensis,DD,87.51369989,10.46957451,111267
18,60121,Aetomylaeus vespertilio,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Aetomylaeus,vespertilio,EN,541.1072045,80.28701061,959158
19,161590,Neotrygon kuhlii,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,DASYATIDAE,Neotrygon,kuhlii,DD,3129.008332,777.8456303,9067710
20,44587,Schroederichthys tenuis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Schroederichthys,tenuis,DD,97.68572415,42.64523866,523515
21,60179,Aptychotrema timorensis,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RHINOBATIDAE,Aptychotrema,timorensis,VU,1.916497743,0.27349506,3306.459961
22,161319,Bathyraja mariposa,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,mariposa,DD,40.50836644,12.76952371,97671.10156
23,60087,Urolophus aurantiacus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,UROLOPHIDAE,Urolophus,aurantiacus,NT,83.23382352,17.84155307,189462
24,42713,Halaelurus sellus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Halaelurus,sellus,LC,152.3849972,40.38399172,473018
25,41834,Myliobatis tenuicaudatus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Myliobatis,tenuicaudatus,LC,182.8983746,65.51936348,624156
26,63133,Malacoraja obscura,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Malacoraja,obscura,DD,5.228325807,0.480924695,5577.77002
27,195452,Dipturus queenslandicus,1,1,1,IUCN Marine Biodiversity/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,queenslandicus,DD,8.774979498,5.08117599,58425.5
28,39335,Brachaelurus colcloughi,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,BRACHAELURIDAE,Brachaelurus,colcloughi,VU,67.18256916,13.61144417,154613
29,63145,Bathyraja scaphiops,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,scaphiops,NT,149.6101709,63.75126683,520438
30,174145,Cephaloscyllium cooki,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Cephaloscyllium,cooki,DD,58.88249993,18.06909881,218836
