"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase"
"Aculeola nigra","hooktooth dogfish, Tollo negro, Tollo negro de cachos, Koukkuhammashai, Angel de l'Atlantique, Aculeola nigra, Ange de l'Atlantique, Squale noir, Squale noire, Haaktandlantaarnhaai","SQUALIFORMES","ETMOPTERIDAE","DD",44653,"http://www.iucnredlist.org/details/classify/44653/0","http://www.iucnredlist.org/pdflink.44653","http://www.fishbase.org/summary/Aculeola-nigra.html"
"Aetobatus flagellum","Eagle ray, Longheaded eagle ray, Plain eagleray, Whiptail bat ray, spotted eagle ray, Langkopadelaarsrog, Kodokuto","RAJIFORMES","MYLIOBATIDAE","EN",60119,"http://www.iucnredlist.org/details/classify/60119/0","http://www.iucnredlist.org/pdflink.60119","http://www.fishbase.org/summary/Aetobatus-flagellum.html"
"Aetobatus narinari","Spikkel-arendrog, Gharabi, Lasgh'm rabidha, Tess, Tiss, Tiss or Tess, Tubaq, Shankar-machh, gefleckter Adlerrochen, Adlerrochen, Eagle ray, Bishop ray, Bonnet skate, Duckbil ray, Duckbill eagle-ray, Duckbill ray, Flying ray, Lady ray, Lang spotted eagle ray, Leopard ray, Maylan, Mottled eagle ray, Ray, Skate, Spotted bonnetray, Spotted duckbill ray, Spotted duckbilled ray, Spotted eagleray, Spotted edgle-ray, Spotted stingray, Spotted whipray, Spotted-eagle ray, Sunfish, Whip, Whip ray, White-spotted eagle ray, Whitespotted eagle ray, bonnetray, spotted eagle ray, Raya, Chucho, Chucho pintado, Gavilan pintado, Obispo, Pintada, Raya pico de pato, Wakawa, raya aguila, Ramak-e-khaldar, Vai tonotono, vai beka, Raie aigle, Raie chauve-souris, Raie noire, Wagaliu, Hihimanu, Hailepo, Lupe, Madara tobiei, Madara-tobi-ei, Pe manuk, Imil, Jimojo, Kakkathirandi, Pulli-kakka-thirandi, Vaval, Bolad, Wagli, Pari burung, Pari ayam, Pari helang, Pari lang, Pari lang lalat, Pari lung, Pari manok, Pari-lang bintik putih, Leik-kyauh-sun, Arendskoprog, Gevlekte adelaarsrog, Chili, Orlen centkowany, Arraia, Ajeru, Ajuru, Arraia-morcego, Arraia-pintada, Narinari, Papagaio, Pintada, Raia-chita, Raia-leopardo, Raia-pintada, Ratau ponteado, Vavoul maduva, Vavoi maduwa, Fai-manu, Fai-pe'a, Maylan, Leopardrocka, Kipungu, Pungu pijo, Pungu pua, Taachui, Curooway-tiriki, Kurivi thirukai, Valval thirukai, Vaval-thiru, Eel-tenkee, Krabane nog, Dalimanok, Pagi, Pagi-manok, Paging paul, Paol, Fai manu, Rai aeroai","RAJIFORMES","MYLIOBATIDAE","NT",39415,"http://www.iucnredlist.org/details/classify/39415/0","http://www.iucnredlist.org/pdflink.39415","http://www.fishbase.org/summary/Aetobatus-narinari.html"
"Aetomylaeus maculatus","Mottled eagle ray, Mottled eagle-ray, Ocellate eagle ray, Ornate eagle ray, Vulturine ray, bat ray, Ramak-e-mokhattat, Wagaliu, Bolad, Wagli, Pari kelawar, Pari lang, Pari-lang tompok putih, Gespikkelde adelaarsrog, Panjadiya, Neduvalai thirukai, Panjadi thirukai","RAJIFORMES","MYLIOBATIDAE","EN",60120,"http://www.iucnredlist.org/details/classify/60120/0","http://www.iucnredlist.org/pdflink.60120","http://www.fishbase.org/summary/Aetomylaeus-maculatus.html"
"Aetomylaeus nichofii","Banded eagle ray, Barbless eagle ray, Eagle ray, Neiuhof's eagle ray, Nieuhof's eagle ray, Nieuhof's eagle-ray, Ramak-e-khatkamani, Aigle vachette, Karaj, Aosuji tobiei, Aosuji-tobi-ei, Pe lamping, Pari burung, Kaniyen-thirandi, Boland, Pari-lang jalur, Pari kelawar, Pari lang, Gestreepte adelaarsrog, Tuppa kollee, Tuppa-kollee, Mookarah tinkee, Krabane nog","RAJIFORMES","MYLIOBATIDAE","VU",41717,"http://www.iucnredlist.org/details/classify/41717/0","http://www.iucnredlist.org/pdflink.41717","http://www.fishbase.org/summary/Aetomylaeus-nichofii.html"
"Aetomylaeus vespertilio","Ornate eagle ray, Reticulate eagle ray, Vespertine eagle ray, Kuviokotkarausku, Pari lang, Pari kelawar, Pari-lang bunga, Sierlijke adelaarsrog, Krabane rang-gasae","RAJIFORMES","MYLIOBATIDAE","EN",60121,"http://www.iucnredlist.org/details/classify/60121/0","http://www.iucnredlist.org/pdflink.60121","http://www.fishbase.org/summary/Aetomylaeus-vespertilio.html"
"Alopias pelagicus","Grootoog-sambokhaai, Kleintand-sambokhaai, Akno, Indopazifischer Fuchshai, Big-eye shark, Fox shark, Pelagic thresher, Small tooth thresher shark, Smalltooth thresher, Smalltooth thresher shark, Thresher, Thresher shark, Whiptail shark, pelagic thresher shark, Pejerrabo, Alopias superciliosus, Tiburon zorro, Zorro de mar, Kooseh-e-derazdom, Ulappakettuhai, Karibiankettuhai, Renard de mer, Requin renard, Requin-renard, Mano hi'uka, Mano laukahi'u, Pesce volpe occhio grosso, Squalo volpe pelagico, Hachiware, Nitari, Hwan-do-sang-o, Yu ekor panjang, Terng boi suar, Yu tikus, Grootoogvoshaai, Pelagische voshaai, Voshaai, Peixe-raposo, Chalarm hang-daab","LAMNIFORMES","ALOPIIDAE","VU",161597,"http://www.iucnredlist.org/details/classify/161597/0","http://www.iucnredlist.org/pdflink.161597","http://www.fishbase.org/summary/Alopias-pelagicus.html"
"Alopias superciliosus","Grootoog-sambokhaai, Jarjur, Qatwa albahar, Guilla d'ulls grossos, Alopias megalomatos, Coleto, Big eye thresher shark, Big-eye shark, Big-eyed thresher, Bigeye thresher shark, Bigeye tresher, False thresher, Long-tailed shark, Thresher, Thresher shark, bigeye thresher, whiptail, zorro, Coleto, Azotador, Coludo cebucano, Pejerrabo, Pez zorro, Zorro blanco, Zorro de mar, Zorro negro, Zorro ojon, zorro, Karibiankettuhai, Renard a gros yeux, Mano hi'uka, Mano laukahi'u, Pesce volpe occhio grosso, Squalo volpe occhione, Hachiware, Tomanimanente, Terng boi suar, Yu ekor panjang, Yu mata besar, Grootoogvoshaai, Peixe-rato, Peixe-raposo, Raposo olhudo, Raposo-de-olhos-grandes, Zorro de olhos grandes, Zorro olho grande, Zorro-de-olhos-grandes","LAMNIFORMES","ALOPIIDAE","VU",161696,"http://www.iucnredlist.org/details/classify/161696/0","http://www.iucnredlist.org/pdflink.161696","http://www.fishbase.org/summary/Alopias-superciliosus.html"
"Alopias vulpinus","Fynstert-sambokhaai, Kalb, Jarjur, Qatwa al bahar, Watwa albahar, Guilla, Pesciu volpe, Raevehai, Drescher, Drescherhai, Fuchshai, Langschweif, Seefuchs, Aleposkylos, Alepouskylos, Common thresher shark, Atlantic thresher, Big-eye thresher, Coleto, Common thresher, Fox shark, Grayfish, Green thresher, Sea fox, Slasher, Swingletail, Swiveltail, Swivetail, Thintail thresher, Thrasher, Thresher, Thresher shark, Tresher shark, Whip-tailed shark, Zorro thresher shark, tresher, whip-tail shark, zorro, Coleto, Azotador, Chichi espada, Coludo, Coludo pinto, Grillo, Peje sable, Peje zorra, Peje zorro, Pejerrabo, Pejezorro, Pez espada, Pez palo, Pez zorro, Pichirata, Rabo de zorra, Raposa, Raposa marina, Tiburon zorro, Zorra, Zorra de mar, Zorro blanco, Zorro de mar, zorro, Kettuhai, Loup de mer, Faux, Renard, Renard de mer, Requin renard, Requin-renard, Requin-renard commun, Singe de mer, Thon blanc, renard marin, Lisica, Morska lisica, Pas lisica, Pas macun, Pas sabljas, Sabljorep, Mano 'ula, Pesce volpe, Pei ratu, Pesce bandiera, Pesce pavone, Pesce spada, Pesce volpe comune, Pesciu rattu, Pisce bandiera, Pisci bannera, Pisci cuda longa, Pisci cudutu, Pisci sciabula turca, Pisci surci, Ratto, Sorcio, Squalo volpe, Surci 'mperiali, Topo, Volpe, Volpe de mar, Volpe di mare, Mao-naga, Santira, Mango-ripi, Mangoo-ripi, Budenb, Pixxivolpi, Voshaai, Revehai, Raevehai, Kosogon, zorro, Peixe-rato, Rabilongo, Raposo, Romano, Zoro cauda longa, Zorra, cacao-raposa, tubarao-raposo, Rechin-vulpe, Peshkdhelper, Pas lisica, Lisica, Psina lisica, Karage, Papa kinengo, Papa kinengwe, Pating, Sapan, Sapan baligi, Ma'o aero","LAMNIFORMES","ALOPIIDAE","VU",39339,"http://www.iucnredlist.org/details/classify/39339/0","http://www.iucnredlist.org/pdflink.39339","http://www.fishbase.org/summary/Alopias-vulpinus.html"
"Amblyraja badia","Broad skate, Raya ancha, Raie large, Brede rog","RAJIFORMES","RAJIDAE","LC",161452,"http://www.iucnredlist.org/details/classify/161452/0","http://www.iucnredlist.org/pdflink.161452","http://www.fishbase.org/summary/Amblyraja-badia.html"
