"PolygonID","MRGID","GeoName","Pol_type","MRGID_Ter1","Territory1","MRGID_Sov1","Sovereign1","ISO_Ter1","MRGID_Ter2","Territory2","MRGID_Sov2","Sovereign2","ISO_Ter2","MRGID_Ter3","Territory3","MRGID_Sov3","Sovereign3","ISO_Ter3","x_1","y_1","Area_km2","MRGID_EEZ","Nospecies"
"1","8444","American Samoa Exclusive Economic Zone","200NM","8670","American Samoa","2204","United States","ASM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-169.063470082,-13.8548393188,405844.21967,"8444",0
"2","8379","Ascension Exclusive Economic Zone","200NM","8620","Ascension","2208","United Kingdom","ASC","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-14.3633726647,-7.94746851996,446005.325434,"8379",0
"3","8446","Cook Islands Exclusive Economic Zone","200NM","8672","Cook Islands","2227","New Zealand","COK","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-161.303414012,-15.0189070607,1969507.12039,"8446",0
"4","8389","Disputed area Falkland Islands Exclusive Economic Zone: UK / Argentina","Disputed","8623","Falkland Islands","2208","United Kingdom","FLK","2149","Argentina","2149","Argentina","ARG","0",NA,"0",NA,NA,-58.3223660504,-51.667026383,549931.724317,"8389",0
"5","8440","French Polynesian Exclusive Economic Zone","200NM","8656","French Polynesia","17","France","PYF","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-144.003272853,-18.7363445188,4766884.32996,"8440",0
"6","8439","Pitcairn Islands Exclusive Economic Zone","200NM","2259","Pitcairn","2208","United Kingdom","PCN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-127.421309783,-24.6062265562,842344.756396,"8439",0
"7","8380","St. Helena Exclusive Economic Zone","200NM","8619","Saint Helena","2208","United Kingdom","SHN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-5.70869129251,-15.9727780519,449214.734358,"8380",0
"8","8445","Samoan Exclusive Economic Zone","200NM","8671","Samoa","8671","Samoa","WSM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-172.753720967,-13.296866319,130473.54685,"8445",0
"9","8448","Tongan Exclusive Economic Zone","200NM","8674","Tonga","8674","Tonga","TON","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-174.765860806,-20.2217486938,666078.527932,"8448",0
"10","8382","Tristan Da Cunha Exclusive Economic Zone","200NM","8621","Tristan da Cunha","2208","United Kingdom","TAA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-11.3358981314,-39.0680540905,817104.430557,"8382",0
"11","8465","Chilean Exclusive Economic Zone","200NM","2165","Chile","2165","Chile","CHL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-75.6994658146,-40.7386937476,2465054.67659,"8465",0
"12","8447","Niue Exclusive Economic Zone","200NM","8673","Niue","2227","New Zealand","NIU","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-169.331383301,-19.5231481912,318143.64148,"8447",0
"14","8383","Disputed area South Georgia and South Sandwich Exclusive Economic Zone: UK / Argentina","Disputed","8624","South Georgia and the South Sandwich Islands","2208","United Kingdom","SGS","2149","Argentina","2149","Argentina","ARG","0",NA,"0",NA,NA,-31.570227793,-56.4545855337,1287582.613,"8383",0
"15","48961","Joint regime area Argentina / Uruguay","Joint regime","2216","Uruguay","2216","Uruguay","URY","2149","Argentina","2149","Argentina","ARG","0",NA,"0",NA,NA,-55.160956601,-36.2549332604,41412.483948,"48961",0
"16","48962","Joint regime area Peru / Ecuador","Joint regime","2257","Peru","2257","Peru","PER","2166","Ecuador","2166","Ecuador","ECU","0",NA,"0",NA,NA,-82.5324770996,-3.38858390804,16123.8786382,"48962",0
"17","8467","Uruguayan Exclusive Economic Zone","200NM","2216","Uruguay","2216","Uruguay","URY","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-53.3214266066,-35.7892709012,143090.710488,"8467",0
"18","8386","Amsterdam Island & St. Paul Island Exclusive Economic Zone","200NM","48979","Amsterdam and Saint Paul Islands","17","France","ATF","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,77.5418063106,-38.2943091334,512187.835173,"8386",0
"20","8344","Disputed area Chagos Archipelago Exclusive Economic Zone: UK / Mauritius","Disputed","8616","Chagos Archipelago","2208","United Kingdom","IOT","8614","Republic of Mauritius","8614","Republic of Mauritius","MUS","0",NA,"0",NA,NA,71.9497918473,-6.58327164324,638107.764246,"8344",0
"21","8309","Christmas Island Exclusive Economic Zone","200NM","8590","Christmas Island","2147","Australia","CXR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,105.365226493,-11.2435805623,327994.30766,"8309",0
"22","8308","Cocos Islands Exclusive Economic Zone","200NM","8589","Cocos Islands","2147","Australia","CCK","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,96.854335723,-12.0314623377,467439.781112,"8308",0
"23","8334","Comoran Exclusive Economic Zone","200NM","2163","Comores","2163","Comores","COM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,43.4516873616,-11.4210933175,164777.450393,"8334",0
"24","8385","Crozet Islands Exclusive Economic Zone","200NM","8627","Crozet Islands","17","France","ATF","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,51.2121814074,-46.3069575449,575374.872768,"8385",0
"25","48944","Disputed area Mayotte: France / Comoros","Disputed","8606","Mayotte","17","France","MYT","2163","Comores","2163","Comores","COM","0",NA,"0",NA,NA,45.3048317181,-13.2170708758,66620.6279949,"48944",0
