"GeoName","Sovereign1","Territory1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Algerian Exclusive Economic Zone","Algeria","Algeria",131184.423485,13.36301231,0.146128030368743,0.658,6.8276,-33,-0.67237,-1.01217,-1.37,70,4,9,19,32,38
"Angolan Exclusive Economic Zone","Angola","Angola",495861.858053,38.43154907,1.10957743314384,0.482,3.80397,-19,1.00366,-0.95824,-2.28,83,4,6,19,29,54
"Argentinean Exclusive Economic Zone","Argentina","Argentina",1072785.76611,24.00326347,0.272954388005673,0.808,10.2544,-39,-0.9929,-0.23569,-0.05,88,4,5,22,31,57
"Bahraini Exclusive Economic Zone","Bahrain","Bahrain",7515.05531597,33.00471115,0.39571883805828,0.717,9.73195,-36,-0.37187,-0.19808,1.15,41,1,3,16,20,21
"Bangladeshi Exclusive Economic Zone","Bangladesh","Bangladesh",112302.620749,24.33461761,0.506820665361845,0.457,4.34892,-28,0.43304,-1.16183,-2.27,83,4,6,26,36,47
"Barbados Exclusive Economic Zone","Barbados","Barbados",185006.191263,26.29351616,0.13799404157334,0.773,40.6047,-68,-1.57584,1.69884,1.63,44,2,1,10,13,31
"Joint regime area Guyana / Barbados","Barbados","Barbados",67.1575217265,26.29351616,0.13799404157334,0.773,40.6047,-68,-1.57584,1.69884,1.63,0,0,0,0,0,0
"Beninese Exclusive Economic Zone","Benin","Benin",35528.368644,32.77273178,0.956699703317461,0.414,5.66285,-39,0.60937,-0.58802,-1.71,83,4,7,18,29,54
"Brazilian Exclusive Economic Zone","Brazil","Brazil",3205100.30771,19.62733459,0.0624925028051878,0.681,7.901,-37,-0.67563,-0.67676,-0.59,146,5,8,34,47,99
"Bruneian Exclusive Economic Zone","Brunei","Brunei",43137.5920732,30.51885986,0.17986018712772,0.716,8.96116,-62,-1.0229,0.4,2.41,92,2,9,31,42,50
"Cambodian Exclusive Economic Zone","Cambodia","Cambodia",48697.2172266,37.57493973,1.14432732215628,0.459,32.398,-21,0.9065,0.11393,-1.14,85,3,6,30,39,46
"Cameroonian Exclusive Economic Zone","Cameroon","Cameroon",15140.979128,20.24989128,0.415938414518058,0.493,7.17247,-25,0.2497,-1.21321,-2.08,86,4,7,21,32,54
"Chilean Exclusive Economic Zone","Chile","Chile",2465054.67659,25.77706718,1.22981301732689,0.784,10.4371,-67,-1.36783,0.66993,1.56,77,0,2,16,18,59
"Chinese Exclusive Economic Zone","China","China",963547.862843,19.94092751,0.287428033543465,0.631,11.0343,-41,-0.57903,-0.47774,-2.33,180,3,9,37,49,131
"Disputed area: Venezuela / Colombia / Dominican Republic","Colombia","Colombia",863.049826952,22.74192429,0.0275819945411075,0.63,5.80006,-37,-0.4217,-0.73932,-0.2,0,0,0,0,0,0
"Colombian Exclusive Economic Zone","Colombia","Colombia",718163.16433,22.74192429,0.0275819945411075,0.63,5.80006,-37,-0.4217,-0.73932,-0.2,133,3,3,19,25,108
"Costa Rican Exclusive Economic Zone","Costa Rica","Costa Rica",567365.437993,29.21470642,0.0668816211683069,0.684,12.8747,-59,-0.91767,0.37595,0.78,105,3,2,14,19,86
"Joint regime area Costa Rica / Ecuador (Galapagos)","Costa Rica","Costa Rica",17337.2348417,29.21470642,0.0668816211683069,0.684,12.8747,-59,-0.91767,0.37595,0.78,16,0,0,10,10,6
"Cypriote Exclusive Economic Zone","Cyprus","Cyprus",98453.3205103,15.65603638,0.039315506750933,0.786,22.3278,-57,-1.61284,0.43672,1.73,47,1,4,15,20,27
"Dominican Exclusive Economic Zone","Dominica","Dominica",28589.5552507,38.87469482,5.56595896212088,0.618,37.6496,-57,0.12658,2.03443,0.88,45,3,1,9,13,32
"Dominican Republic Exclusive Economic Zone","Dominican Republic","Dominican Republic",350697.677696,21.67969513,0.151401206125027,0.622,17.1798,-29,-0.28081,-0.56134,-0.34,53,2,2,11,15,38
"Joint regime area Colombia / Dominican Republic","Dominican Republic","Dominican Republic",13110.2397339,21.67969513,0.151401206125027,0.622,17.1798,-29,-0.28081,-0.56134,-0.34,13,0,0,8,8,5
"Joint regime area Ecuador / Colombia","Ecuador","Ecuador",18639.6879249,27.63736343,0.595016437107047,0.665,5.41578,-32,-0.2262,-0.6543,-0.77,0,0,0,0,0,0
"Ecuadorian Exclusive Economic Zone","Ecuador","Ecuador",236289.144622,27.63736343,0.595016437107047,0.665,5.41578,-32,-0.2262,-0.6543,-0.77,75,1,3,12,16,59
"El Salvador Exclusive Economic Zone","El Salvador","El Salvador",95098.9801233,28.66797447,0.0602455958233584,0.584,10.1128,-33,-0.0374,-0.58599,0.12,60,1,2,10,13,47
"Gabonese Exclusive Economic Zone","Gabon","Gabon",201753.746636,28.69852066,0.823016593684943,0.618,2.9011,-32,-0.0118,-0.75374,-0.8,89,4,8,19,31,58
"Georgian Exclusive Economic Zone","Georgia","Georgia",22951.8826179,31.25251389,0.189235421568328,0.794,31.0112,-56,-1.2053,1.17327,0.9,2,0,0,1,1,1
"Ghanaian Exclusive Economic Zone","Ghana","Ghana",227218.059083,36.55239868,0.853933175846654,0.551,6.24579,-40,0.23606,-0.27978,-1.15,87,4,7,19,30,57
"Grenadian Exclusive Economic Zone","Grenada","Grenada",25576.6292954,43.96567535,0.669152454441317,0.725,23.3499,-52,-0.46547,1.08258,0.72,66,4,2,11,17,49
"Guatemalan Exclusive Economic Zone","Guatemala","Guatemala",110643.131743,24.03350639,0.0930921954077226,0.508,8.02935,-28,0.19978,-1.01625,-1.23,63,1,2,10,13,50
"Guinean Exclusive Economic Zone","Guinea","Guinea",102165.349909,25.60624123,1.99859082621619,0.33,5.32035,-27,1.06159,-1.11082,-2.55,89,4,7,19,30,59
"Guyanese Exclusive Economic Zone","Guyana","Guyana",135053.148853,49.81836319,2.26195603897876,0.568,6.99461,-38,0.74372,0.22432,-0.25,70,3,2,13,18,52
"Disputed area: Trinidad and Tobago / Venezuela / Guyana","Guyana","Guyana",3590.78552744,49.81836319,2.26195603897876,0.568,6.99461,-38,0.74372,0.22432,-0.25,24,0,1,9,10,14
"Disputed area Navassa Island: USA / Haiti / Jamaica","Haiti","Haiti",13890.8022545,33.26596069,0.527852579104348,0.425,9.74861,-22,0.89287,-0.92719,-2.05,42,2,2,9,13,29
"Haitian Exclusive Economic Zone","Haiti","Haiti",103497.883331,33.26596069,0.527852579104348,0.425,9.74861,-22,0.89287,-0.92719,-2.05,55,2,2,11,15,40
"Joint regime area Honduras / Cayman Islands","Honduras","Honduras",2075.80842569,29.74034119,0.282869192650027,0.518,15.0077,-29,0.29735,-0.54344,-1.04,19,0,1,9,10,9
"Honduran Exclusive Economic Zone","Honduras","Honduras",208534.450393,29.74034119,0.282869192650027,0.518,15.0077,-29,0.29735,-0.54344,-1.04,61,2,2,10,14,47
"Indian Exclusive Economic Zone","India","India",1659486.57465,21.37855148,0.217673374781482,0.535,9.38129,-40,-0.21079,-0.65639,-4.34,122,4,8,34,46,76
"Indonesian Exclusive Economic Zone","Indonesia","Indonesia",6025109.71458,23.5663414,0.992254950098506,0.622,5.79467,-37,-0.26565,-0.61993,-3.24,194,4,12,52,68,126
"Iraqi Exclusive Economic Zone","Iraq","Iraq",1187.50111346,43.61099243,0.00628793561429266,0.5,8.43451,-18,0.96857,-0.77688,-2.31,0,0,0,0,0,0
"Israeli Exclusive Economic Zone","Israel","Israel",23511.4177216,19.15465736,0.00210528977481221,0.87,5.97648,-62,-1.83861,0.15911,1,53,1,5,17,23,30
"Jamaican Exclusive Economic Zone","Jamaica","Jamaica",257049.4206,31.25927925,0.353126941391844,0.678,32.8804,-44,-0.56064,0.7846,0.39,47,3,2,9,14,33
"Joint regime area Colombia / Jamaica","Jamaica","Jamaica",15251.3689556,31.25927925,0.353126941391844,0.678,32.8804,-44,-0.56064,0.7846,0.39,34,0,1,9,10,24
"Jordanian Exclusive Economic Zone","Jordan","Jordan",97.0835220622,19.2584343,0.00257059107564988,0.701,18.6541,-48,-1.03603,0.03622,-0.37,0,0,0,0,0,0
"Kenyan Exclusive Economic Zone","Kenya","Kenya",113818.646103,29.10097313,0.0852513671238536,0.518,9.66244,-28,0.30034,-0.80844,-1.8,62,2,2,20,24,38
"Disputed area: Kenya / Somalia","Kenya","Kenya",50229.5785767,29.10097313,0.0852513671238536,0.518,9.66244,-28,0.30034,-0.80844,-1.8,52,0,2,20,22,30
"Kuwaiti Exclusive Economic Zone","Kuwait","Kuwait",11182.5360034,24.70368958,0.0125179718193388,0.611,5.97537,-39,-0.35315,-0.65138,-0.16,43,2,3,17,22,21
"Lebanese Exclusive Economic Zone","Lebanon","Lebanon",20185.6097866,16.39228439,0.0245245860168539,0.656,18.4296,-28,-0.53264,-0.65495,-0.6,49,1,5,15,21,28
