"PolygonID","MRGID","GeoName","MRGID_Ter1","Territory1","Sovereign1","ISO_Ter1","Area_km2","Nospecies","CR","EN","VU","rest"
1,8444,"American Samoa Exclusive Economic Zone",8670,"American Samoa","United States","ASM",405844.21967,21,0,0,10,11
2,8379,"Ascension Exclusive Economic Zone",8620,"Ascension","United Kingdom","ASC",446005.325434,15,0,0,8,7
3,8446,"Cook Islands Exclusive Economic Zone",8672,"Cook Islands","New Zealand","COK",1969507.12039,21,0,0,10,11
4,8389,"Disputed area Falkland Islands Exclusive Economic Zone: UK / Argentina",8623,"Falkland Islands","United Kingdom","FLK",549931.724317,32,0,1,10,21
5,8440,"French Polynesian Exclusive Economic Zone",8656,"French Polynesia","France","PYF",4766884.32996,32,0,2,13,17
6,8439,"Pitcairn Islands Exclusive Economic Zone",2259,"Pitcairn","United Kingdom","PCN",842344.756396,16,0,0,8,8
7,8380,"St. Helena Exclusive Economic Zone",8619,"Saint Helena","United Kingdom","SHN",449214.734358,16,0,0,9,7
8,8445,"Samoan Exclusive Economic Zone",8671,"Samoa","Samoa","WSM",130473.54685,21,0,0,10,11
9,8448,"Tongan Exclusive Economic Zone",8674,"Tonga","Tonga","TON",666078.527932,20,0,0,9,11
10,8382,"Tristan Da Cunha Exclusive Economic Zone",8621,"Tristan da Cunha","United Kingdom","TAA",817104.430557,11,0,0,6,5
11,8465,"Chilean Exclusive Economic Zone",2165,"Chile","Chile","CHL",2465054.67659,77,0,2,16,59
12,8447,"Niue Exclusive Economic Zone",8673,"Niue","New Zealand","NIU",318143.64148,18,0,0,9,9
14,8383,"Disputed area South Georgia and South Sandwich Exclusive Economic Zone: UK / Argentina",8624,"South Georgia and the South Sandwich Islands","United Kingdom","SGS",1287582.613,3,0,0,1,2
15,48961,"Joint regime area Argentina / Uruguay",2216,"Uruguay","Uruguay","URY",41412.483948,81,4,7,22,48
16,48962,"Joint regime area Peru / Ecuador",2257,"Peru","Peru","PER",16123.8786382,67,1,3,12,51
17,8467,"Uruguayan Exclusive Economic Zone",2216,"Uruguay","Uruguay","URY",143090.710488,97,4,8,24,61
18,8386,"Amsterdam Island & St. Paul Island Exclusive Economic Zone",48979,"Amsterdam and Saint Paul Islands","France","ATF",512187.835173,5,0,0,3,2
20,8344,"Disputed area Chagos Archipelago Exclusive Economic Zone: UK / Mauritius",8616,"Chagos Archipelago","United Kingdom","IOT",638107.764246,18,0,0,12,6
