"F_AREA","FID","F_LEVEL","F_CODE","F_STATUS","OCEAN","SUBOCEAN","F_SUBAREA","F_DIVISION","F_SUBDIVIS","F_SUBUNIT","SURFACE","Name_en","Name_fr","Name_es","Ocean_Group","Major_Group","FARegion_Group","Nospecies"
"18",1,"MAJOR","18",1,"Arctic","1",NA,NA,NA,NA,9318442505452.04,"Arctic Sea","Mer Arctique","Mar Ártico","Atlantic Ocean and adjacent seas","Arctic Sea","Northern regions",6
"61",2,"MAJOR","61",1,"Pacific","6",NA,NA,NA,NA,21549531606134,"Pacific, Northwest","Pacifique, nord-ouest","Pacífico, noroeste","Pacific Ocean","NW Pacific","Northern regions",262
"67",3,"MAJOR","67",1,"Pacific","6",NA,NA,NA,NA,7657120405014.41,"Pacific, Northeast","Pacifique, nord-est","Pacífico, nordeste","Pacific Ocean","NE Pacific","Northern regions",37
"37",4,"MAJOR","37",1,"Atlantic","3",NA,NA,NA,NA,2995430924977.33,"Mediterranean and Black Sea","Méditerranée et mer Noire","Mediterráneo y Mar Negro","Atlantic Ocean and adjacent seas","Mediterran.","Central regions",76
"27",5,"MAJOR","27",1,"Atlantic","2",NA,NA,NA,NA,14421539921518,"Atlantic, Northeast","Atlantique, nord-est","Atlántico, nordeste","Atlantic Ocean and adjacent seas","NE Atlantic","Northern regions",120
"31",6,"MAJOR","31",1,"Atlantic","3",NA,NA,NA,NA,14616418013822.9,"Atlantic, Western Central","Atlantique, centre-ouest","Atlántico, centro-occidental","Atlantic Ocean and adjacent seas","WC Atlantic","Central regions",174
"34",7,"MAJOR","34",1,"Atlantic","3",NA,NA,NA,NA,14076247812322.8,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental","Atlantic Ocean and adjacent seas","EC Atlantic","Central regions",156
"51",8,"MAJOR","51",1,"Indian","5",NA,NA,NA,NA,29348918172302.5,"Indian Ocean, Western","Océan Indien, ouest","Océano Índico, occidental","Indian Ocean","W Indian O.","Central regions",217
"57",9,"MAJOR","57",1,"Indian","5",NA,NA,NA,NA,31178758241639.9,"Indian Ocean, Eastern","Océan Indien, est","Océano Índico, oriental","Indian Ocean","E Indian O.","Central regions",317
"71",10,"MAJOR","71",1,"Pacific","7",NA,NA,NA,NA,33237091406865.6,"Pacific, Western Central","Pacifique, centre-ouest","Pacífico, centro-occidental","Pacific Ocean","WC Pacific","Central regions",302
"87",11,"MAJOR","87",1,"Pacific","8",NA,NA,NA,NA,30769297541183.4,"Pacific, Southeast","Pacifique, sud-est","Pacífico, sudoriental","Pacific Ocean","SE Pacific","Southern regions",138
"41",12,"MAJOR","41",1,"Atlantic","4",NA,NA,NA,NA,17537943287900.7,"Atlantic, Southwest","Atlantique, sud-ouest","Atlántico, sudoccidental","Atlantic Ocean and adjacent seas","SW Atlantic","Southern regions",157
"81",13,"MAJOR","81",1,"Pacific","8",NA,NA,NA,NA,27680246726889.1,"Pacific, Southwest","Pacifique, sud-ouest","Pacífico, sudoccidental","Pacific Ocean","SW Pacific","Southern regions",184
"58",14,"MAJOR","58",1,"Indian","10",NA,NA,NA,NA,12818684232104,"Indian Ocean, Antarctic","Océan Indien, Antarctique","Océano Índico, Antártico","Southern Ocean","Ind.antarctc","Southern regions",11
"48",15,"MAJOR","48",1,"Atlantic","9",NA,NA,NA,NA,12552650726075.9,"Atlantic, Antarctic","Atlantique, Antarctique","Atlántico, Antártico","Southern Ocean","Atl.antarctc","Southern regions",6
"88",16,"MAJOR","88",1,"Pacific","11",NA,NA,NA,NA,10307242831466.6,"Pacific, Antarctic","Pacifique, Antarctique","Pacífico, Antártico","Southern Ocean","Pac.antarctc","Southern regions",3
"77",17,"MAJOR","77",1,"Pacific","7",NA,NA,NA,NA,48106170738073.9,"Pacific, Eastern Central","Pacifique, centre-est","Pacífico, centro-oriental","Pacific Ocean","EC Pacific","Central regions",142
"47",18,"MAJOR","47",1,"Atlantic","4",NA,NA,NA,NA,18342377690817.6,"Atlantic, Southeast","Atlantique, sud-est","Atlántico, sudoriental","Atlantic Ocean and adjacent seas","SE Atlantic","Southern regions",154
"21",19,"MAJOR","21",1,"Atlantic","2",NA,NA,NA,NA,6300776037120.86,"Atlantic, Northwest","Atlantique, nord-ouest","Atlántico, noroeste","Atlantic Ocean and adjacent seas","NW Atlantic","Northern regions",84
"37",20,"SUBAREA","37.4",1,"Atlantic","3","37.4",NA,NA,NA,475396678200.509,"Mediterranean and Black Sea","Méditerranée et mer Noire","Mediterráneo y Mar Negro","Atlantic Ocean and adjacent seas","Mediterran.","Central regions",39
"37",21,"SUBAREA","37.1",1,"Atlantic","3","37.1",NA,NA,NA,844632955740.409,"Mediterranean and Black Sea","Méditerranée et mer Noire","Mediterráneo y Mar Negro","Atlantic Ocean and adjacent seas","Mediterran.","Central regions",73
"27",22,"SUBAREA","27.12",1,"Atlantic","2","27.12",NA,NA,NA,2148033151326.89,"Atlantic, Northeast","Atlantique, nord-est","Atlántico, nordeste","Atlantic Ocean and adjacent seas","NE Atlantic","Northern regions",25
"37",23,"SUBAREA","37.2",1,"Atlantic","3","37.2",NA,NA,NA,945010331956.399,"Mediterranean and Black Sea","Méditerranée et mer Noire","Mediterráneo y Mar Negro","Atlantic Ocean and adjacent seas","Mediterran.","Central regions",68
"37",24,"SUBAREA","37.3",1,"Atlantic","3","37.3",NA,NA,NA,730390941737.714,"Mediterranean and Black Sea","Méditerranée et mer Noire","Mediterráneo y Mar Negro","Atlantic Ocean and adjacent seas","Mediterran.","Central regions",58
"34",26,"SUBAREA","34.2",1,"Atlantic","3","34.2",NA,NA,NA,3476765375247.99,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental","Atlantic Ocean and adjacent seas","EC Atlantic","Central regions",18
"34",27,"SUBAREA","34.1",1,"Atlantic","3","34.1",NA,NA,NA,1383347033256.44,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental","Atlantic Ocean and adjacent seas","EC Atlantic","Central regions",128
"51",29,"SUBAREA","51.2",1,"Indian","5","51.2",NA,NA,NA,241833704914.95,"Indian Ocean, Western","Océan Indien, ouest","Océano Índico, occidental","Indian Ocean","W Indian O.","Central regions",45
"57",30,"SUBAREA","57.1",1,"Indian","5","57.1",NA,NA,NA,3557084030815.17,"Indian Ocean, Eastern","Océan Indien, est","Océano Índico, oriental","Indian Ocean","E Indian O.","Central regions",119
"34",35,"SUBAREA","34.4",1,"Atlantic","3","34.4",NA,NA,NA,4719250487141.57,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental","Atlantic Ocean and adjacent seas","EC Atlantic","Central regions",15
"34",36,"SUBAREA","34.3",1,"Atlantic","3","34.3",NA,NA,NA,4496884916478.78,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental","Atlantic Ocean and adjacent seas","EC Atlantic","Central regions",123
"51",43,"SUBAREA","51.5",1,"Indian","5","51.5",NA,NA,NA,5194450830092.38,"Indian Ocean, Western","Océan Indien, ouest","Océano Índico, occidental","Indian Ocean","W Indian O.","Central regions",90
"87",44,"SUBAREA","87.1",1,"Pacific","8","87.1",NA,NA,NA,11919797917111.7,"Pacific, Southeast","Pacifique, sud-est","Pacífico, sudoriental","Pacific Ocean","SE Pacific","Southern regions",103
"41",46,"SUBAREA","41.1",1,"Atlantic","4","41.1",NA,NA,NA,5825792979689.91,"Atlantic, Southwest","Atlantique, sud-ouest","Atlántico, sudoccidental","Atlantic Ocean and adjacent seas","SW Atlantic","Southern regions",84
