"FID_1","F_LEVEL","F_CODE","F_SUBAREA","Name_en","F_LEVEL.1","OCEAN","SURFACE","Nospecies","CR","EN","VU","rest"
1,"MAJOR","18",NA,"Arctic Sea","MAJOR","Arctic",9318442505452.04,8,0,0,3,5
19,"MAJOR","21",NA,"Atlantic, Northwest","MAJOR","Atlantic",6300776037120.86,86,1,5,19,61
5,"MAJOR","27",NA,"Atlantic, Northeast","MAJOR","Atlantic",14421539921518,122,3,7,23,89
6,"MAJOR","31",NA,"Atlantic, Western Central","MAJOR","Atlantic",14616418013822.9,181,4,3,23,151
7,"MAJOR","34",NA,"Atlantic, Eastern Central","MAJOR","Atlantic",14076247812322.8,163,6,11,30,116
4,"MAJOR","37",NA,"Mediterranean and Black Sea","MAJOR","Atlantic",2995430924977.33,79,4,9,21,45
12,"MAJOR","41",NA,"Atlantic, Southwest","MAJOR","Atlantic",17537943287900.7,163,5,9,36,113
18,"MAJOR","47",NA,"Atlantic, Southeast","MAJOR","Atlantic",18342377690817.6,167,5,6,32,124
15,"MAJOR","48",NA,"Atlantic, Antarctic","MAJOR","Atlantic",12552650726075.9,7,0,0,3,4
8,"MAJOR","51",NA,"Indian Ocean, Western","MAJOR","Indian",29348918172302.5,242,7,11,46,178
9,"MAJOR","57",NA,"Indian Ocean, Eastern","MAJOR","Indian",31178758241639.9,333,6,14,54,259
14,"MAJOR","58",NA,"Indian Ocean, Antarctic","MAJOR","Indian",12818684232104,12,0,0,1,11
2,"MAJOR","61",NA,"Pacific, Northwest","MAJOR","Pacific",21549531606134,279,3,10,43,223
3,"MAJOR","67",NA,"Pacific, Northeast","MAJOR","Pacific",7657120405014.41,40,0,0,6,34
10,"MAJOR","71",NA,"Pacific, Western Central","MAJOR","Pacific",33237091406865.6,332,5,16,65,246
17,"MAJOR","77",NA,"Pacific, Eastern Central","MAJOR","Pacific",48106170738073.9,149,3,2,22,122
13,"MAJOR","81",NA,"Pacific, Southwest","MAJOR","Pacific",27680246726889.1,206,1,4,33,168
11,"MAJOR","87",NA,"Pacific, Southeast","MAJOR","Pacific",30769297541183.4,149,1,4,24,120
16,"MAJOR","88",NA,"Pacific, Antarctic","MAJOR","Pacific",10307242831466.6,3,0,0,1,2
