"featurecla","name","namealt","changed","note","name_fr","min_label","max_label","scalerank","Nospecies"
"ocean","ARCTIC OCEAN",NA,"Version 1.4",NA,"OCEAN GLACIAL ARCTIQUE",1,6.5,0,2
"ocean","SOUTHERN OCEAN",NA,"Version 1.4",NA,"OCEAN GLACIAL ANTARCTIQUE",1,6.5,0,4
"ocean","NORTH ATLANTIC OCEAN",NA,"Version 1.4",NA,"OCEAN ATLANTIQUE NORD",1,6.5,0,257
"ocean","NORTH PACIFIC OCEAN",NA,"Version 1.4",NA,"OCEAN PACIFIQUE NORD",1,6.5,0,248
"ocean","SOUTH PACIFIC OCEAN",NA,"Version 1.4",NA,"OCEAN PACIFIQUE SUD",1,6.5,0,248
"ocean","INDIAN OCEAN",NA,"Version 1.4",NA,"OCEAN INDIEN",1,6.5,0,363
"ocean","SOUTH ATLANTIC OCEAN",NA,"Version 1.4",NA,"OCEAN ATLANTIQUE SUD",1,6.5,0,238
"sea","Black Sea",NA,"Version 1.4",NA,"Mer Noire",2,7.5,1,3
"sea","Philippine Sea",NA,"Version 1.4",NA,"Mer des Philippines",2,7.5,1,221
"sea","Coral Sea",NA,"Version 1.4",NA,"Mer de Corail",2,7.5,1,194
"sea","Tasman Sea",NA,"Version 1.4",NA,"Mer de Tasman",2,7.5,1,170
"bay","Bay of Bengal",NA,"Version 1.4",NA,"Golfe du Bengale",2,7.5,1,105
"sea","South China Sea",NA,"Version 1.4",NA,"Mer de Chine méridionale",2,7.5,1,204
"sea","Sea of Japan","East Sea","Version 1.4",NA,"Mer du Japon",2,7.5,1,91
"sea","Mediterranean Sea",NA,"Version 1.4",NA,"Mer Méditerranée",2,7.5,1,69
"sea","Arabian Sea",NA,"Version 1.4",NA,"Mer d'Oman",2,7.5,1,104
"sea","Beaufort Sea",NA,"Version 1.4",NA,"Mer de Beaufort",2,7.5,1,0
"sea","Caribbean  Sea",NA,"Version 1.4",NA,"Mer des Caraïbes",2,7.5,1,122
"gulf","Gulf of Mexico",NA,"Version 1.4",NA,"Golfe du Mexique",2,7.5,1,121
"sea","Labrador Sea",NA,"Version 1.4",NA,"Mer du Labrador",2,7.5,1,21
"bay","Hudson Bay",NA,"Version 1.4",NA,"Baie d'Hudson",2,7.5,1,1
"sea","Caspian Sea",NA,"Version 1.4",NA,"Mer Caspienne",2,7.5,1,0
"bay","Baffin Bay",NA,"Version 1.4",NA,"Baie de Baffin",2,7.5,1,3
"gulf","Gulf of Alaska",NA,"Version 1.4",NA,"Golfe d'Alaska",2,7.5,1,19
"sea","Red Sea",NA,"Version 1.4",NA,"Mer Rouge",2,7.5,1,55
"sea","Sea of Okhotsk",NA,"Version 1.4",NA,"Mer d'Okhotsk",2,7.5,1,34
"sea","Ross  Sea",NA,"Version 1.4",NA,"Mer de Ross",2,7.5,1,1
"sea","Weddell  Sea",NA,"Version 1.4",NA,"Mer de Weddell",2,7.5,1,0
"gulf","Persian Gulf","Arabian Gulf","Version 1.4",NA,"Golfe Persique",2,7.5,1,45
"sea","Ross  Sea",NA,"Version 1.4",NA,"Mer de Ross",2,7.5,1,0
"sea","Celebes Sea",NA,"Version 1.4",NA,"Mer de Célèbes",4,8.5,2,100
"sea","Sulu Sea",NA,"Version 1.4",NA,"Mer de Sulu",4,8.5,2,116
"sea","Norwegian Sea",NA,"Version 1.4",NA,"Mer de Norvège",4,8.5,2,44
"sea","Greenland Sea",NA,"Version 1.4",NA,"Mer du Groenland",4,8.5,2,20
"sea","Banda Sea",NA,"Version 1.4",NA,"Mer de Banda",4,8.5,2,76
"strait","Luzon Strait",NA,"Version 1.4",NA,"Détroit de Luçon",4,8.5,2,0
"bay","Bay of Biscay",NA,"Version 1.4",NA,"Golfe de Gascogne",4,8.5,2,65
"channel","Mozambique Channel",NA,"Version 1.4",NA,"Canal du Mozambique",4,8.5,2,118
"gulf","Gulf of Guinea",NA,"Version 1.4",NA,"Golfe de Guinée",4,8.5,2,97
"sea","Scotia Sea",NA,"Version 1.4",NA,"Mer de Scotia",4,8.5,2,0
"sea","Baltic Sea",NA,"Version 1.4",NA,"Mer Baltique",4,8.5,2,8
"sea","Barents Sea",NA,"Version 1.4",NA,"Mer de Barents",4,8.5,2,12
"sea","North Sea",NA,"Version 1.4",NA,"Mer du Nord",4,8.5,2,37
"channel","Bristol Channel",NA,"Version 1.4",NA,"Canal de Bristol",5.7,10,4,40
"sea","Inner Seas",NA,"Version 1.4",NA,"Mer des Hébrides",5.7,10,4,40
"sea","Irish Sea",NA,"Version 1.4",NA,"Mer d'Irlande",4,8.5,2,40
"sea","Java Sea",NA,"Version 1.4",NA,"Mer de Java",4,8.5,2,96
"sea","Andaman Sea",NA,"Version 1.4",NA,"Mer d'Andaman",4,8.5,2,87
"sea","Yellow Sea",NA,"Version 1.4",NA,"Mer Jaune",4,8.5,2,69
"sea","East China Sea",NA,"Version 1.4",NA,"Mer de Chine Orientale",4,8.5,2,178
"sea","Chukchi Sea",NA,"Version 1.4",NA,"Mer des Tchouktches",4,8.5,2,1
"bay","Bahía de Campeche",NA,NA,"Bay of Campeche",NA,4,8.5,2,62
"sea","Arafura Sea",NA,"Version 1.4",NA,"Mer d'Arafura",4,8.5,2,98
"sea","Timor Sea",NA,"Version 1.4",NA,"Mer de Timor",4,8.5,2,104
"gulf","Gulf of Thailand",NA,"Version 1.4",NA,"Golfe de Thaïlande",4,8.5,2,99
"sea","Laccadive Sea",NA,"Version 1.4",NA,"Mer des Laquedives",4,8.5,2,98
"sea","Bellingshausen Sea",NA,"Version 1.4",NA,"Mer de Bellingshausen",4,8.5,2,0
"sea","Amundsen Sea",NA,"Version 1.4",NA,"Mer d'Amundsen",4,8.5,2,0
"strait","Davis Strait",NA,"Version 1.4",NA,"Détroit de Davis",4,8.5,2,12
"sea","Kara Sea",NA,"Version 1.4",NA,"Mer de Kara",4,8.5,2,1
"sea","Laptev Sea",NA,"Version 1.4",NA,"Mer de Laptev",4,8.5,2,0
"channel","Drake Passage",NA,"Version 1.4",NA,"Passage de Drake",4,8.5,2,0
"sea","Mediterranean Sea",NA,"Version 1.4",NA,"Mer Méditerranée",2,7.5,1,71
"gulf","Great Australian Bight",NA,"Version 1.4",NA,"Grande Baie Australienne",5,9.5,3,96
"gulf","Gulf of Aden",NA,"Version 1.4",NA,"Golfe d'Aden",5,9.5,3,62
"gulf","Gulf of Oman",NA,"Version 1.4",NA,"Golfe d'Oman",5,9.5,3,64
"sea","Tyrrhenian Sea",NA,"Version 1.4",NA,"Mer Tyrrhénienne",5,9.5,3,65
"sea","White  Sea",NA,"Version 1.4",NA,"Mer Blanche",5,9.5,3,5
"sea","Sea of Azov",NA,"Version 1.4",NA,"Mer d'Azov",6,10,5,1
"bay","James Bay",NA,"Version 1.4",NA,"Baie James",5,9.5,3,0
"gulf","Gulf of Carpentaria",NA,"Version 1.4",NA,"Golfe de Carpentarie",5,9.5,3,82
"gulf","Golfo de California",NA,"Version 1.4",NA,"Golfe de Californie",5,9.5,3,83
"strait","Hudson Strait",NA,"Version 1.4",NA,"Détroit d'Hudson",5,9.5,3,2
"gulf","Gulf of Finland",NA,"Version 1.4",NA,"Golfe de Finlande",5.7,10,4,2
