"","Shark.Marine.Protected.Areas","Date","Area..km2.","Entire.EEZ","EEZ.Geoname","Territory.name","Sovereign","Source","Comment..map.source.when.not.entire.EEZ","Name","Lat","Long"
"1","Antongil Bay Shark Sanctuary",2015,"3746","N","Madagascan Exclusive Economic Zone","Madagascar","Madagascar","http://www.mpatlas.org","map on mpatlas","Atongil",-15.7499991,49.8227684
"2","American Samoa Shark Sanctuary",2012,"35438","N","American Samoa Exclusive Economic Zone","American Samoa","United States","http://www.mpatlas.org","map on mpatlas","AmericanSamoa",-14.0630595,-170.6673163
"3","Ascension Island",2016,"445390","Y","Ascension Exclusive Economic Zone","Ascension","United Kingdom","AC29 Doc. 23 A1","no name- its legislation but no name","Ascension",-7.9412322,-14.3930564
"4","Bahamas Shark Sanctuary",2011,"629293","Y","Bahamas Exclusive Economic Zone","Bahamas","Bahamas","http://www.mpatlas.org","","Bahamas",24.3680219,-80.4631493
"5","Bonaire Shark Sanctuary",2015,"9706","Y","Bonaire Exclusive Economic Zone","Bonaire","Netherlands","http://www.pewtrusts.org","","Bonaire",12.1684722,-68.4483527
"6","Boncuk Bay Shark Protection Area, Turkey",2006,"0.060","N","Turkish Exclusive Economic Zone","Turkey","Turkey","Bilecenoglu, M. 2008 Conservation and monitoring project of sandbar sharks. Republic of Turkey Ministry of Environment and Forestry, Ankara.  ","Bonjuk Bay on google earth, small, dot on map","Bonjuk",36.9760721,28.2142363
"7","British Virgin Islands Shark Sanctuary",2014,"80117","Y","British Virgin Islands Exclusive Economic Zone","British Virgin Islands","Shark Sanctuary","http://www.mpatlas.org","","BritishVirgin",18.5217935,-64.8515496
"8","Brunei Shark Sanctuary",2013,"5912","N","Bruneian Exclusive Economic Zone","Brunei","United Kingdom","http://www.mpatlas.org","map on mpatlas","Brunei",4.8914739,113.9777483
"9","Cayman Islands Shark Sanctuary",2016,"119134","Y","Cayman Islands Exclusive Economic Zone","Cayman Islands","United Kingdom","http://www.mpatlas.org","","Cayman",19.506887,-81.1347479
"10","Congo-Brazzaville Shark Sanctuary",2001,"966","N","Congolese Exclusive Economic Zone","Republic of the Congo","Republic of the Congo","http://www.mpatlas.org","map on mpatlas","CongoBrazzaville",-4.7271199,11.4114174
"11","Cook Islands Shark Sanctuary",2012,"1960135","Y","Cook Islands Exclusive Economic Zone","Cook Islands","New Zealand","http://www.mpatlas.org","","CookIslands",-15.4439225,-169.9832779
"12","Curacao Shark Sanctuary",2016,"30247","Y","Cura̤aoan Exclusive Economic Zone","Cura̤ao","Netherlands","Ward-Paige, C. 2017 doi: 10.1016/j.marpol.2017.05.004","","Curacao",12.2081583,-69.2132014
"13","Darwin and Wolf Islands Marine Sanctuary",2016,"40000","N","Ecuadorian Exclusive Economic Zone (Galapagos)","Galapagos","Ecuador","https://www.darwinfoundation.org/en/blog-articles/277","map of Darwin Wolf Marine Sanctuary","DarwinWolf",1.5278293,-92.050056
