ISO,Country.x,finning,npoastrength2015,CMSMoUNov2015,PMSA.Oct2015,nclsum,Median_speciescount,mmtsum,NuminEEZ,colour2,marxanpercent,LindsayNotes
AUS,Australia,1.037749043,2.403819678,2.029198625,2.091650066,2.525312009,1,7.562417412,17,red,24.47,
BRA,Brazil,2.075498087,0,0,1.045825033,-4.888064569,1,3.12132312,17,red,5.32,
IDN,Indonesia,0,1.272610418,0,1.045825033,-6.127247895,1,2.318435451,11,red,4.26,
TWN,Taiwan,2.075498087,0.989808103,0,0,1.213554043,8,3.065306189,10,red,1.6,
CHN,China,0,0,0,0,-3.5787335,2,0,9,orange,1.86,
ZAF,South Africa,1.037749043,0,2.029198625,0,-0.364806008,6,3.066947668,9,orange,3.99,
ARG,Argentina,2.075498087,0.989808103,0,0,-3.726239906,7,3.065306189,8,orange,1.06,
JPN,Japan,0,0.707005788,0,0,0.13683162,1,0.707005788,8,orange,2.93,
URY,Uruguay,0,2.26241852,0,2.091650066,1.847403307,7,4.354068587,8,orange,0.53,
MOZ,Mozambique,0,0,0,2.091650066,-1.785433284,1,2.091650066,7,orange,2.39,
MYS,Malaysia,0,1.838215048,0,0,-1.339323092,1,1.838215048,5,yellow,0.8,
OMN,Oman,2.075498087,0,0,2.091650066,-1.725398308,2,4.167148153,5,yellow,0.53,
CHL,Chile,2.075498087,2.26241852,2.029198625,2.091650066,1.722129222,2,8.458765298,4,yellow,0.01,zero.butmadezerosovisible
PAN,Panama,1.037749043,0,0,0,0.513557413,3,1.037749043,4,yellow,0.8,
PER,Peru,2.075498087,1.838215048,0,1.045825033,-0.310544523,2,4.959538168,4,yellow,1.86,
PHL,Philippines,0,0,2.029198625,0,-1.393083483,1,2.029198625,4,yellow,0.27,
PNG,Papua New Guinea,0,0,0,0,-1.367568235,1,0,4,yellow,3.46,
USA,United States,2.075498087,2.26241852,2.029198625,2.091650066,-1.05973714,1,8.458765298,4,yellow,6.12,
COL,Colombia,2.075498087,2.121017363,2.029198625,0,0.229748337,1,6.225714074,3,green,1.06,
ECU,Ecuador,2.075498087,1.838215048,0,0,-1.486034441,2,3.913713134,3,green,0.8,
MEX,Mexico,2.075498087,1.272610418,0,0,-2.57351582,2,3.348108504,3,green,3.19,
MMR,Myanmar,0,0,0,2.091650066,-3.879522568,1,2.091650066,3,green,0.8,
YEM,Yemen,0,0,2.029198625,0,-3.600684188,1,2.029198625,3,green,0.53,
EGY,Egypt,0,1.414011575,2.029198625,0,-1.589825565,2,3.4432102,2,green,0.8,
ERI,Eritrea,0,0,0,0,-2.216378944,2,0,2,green,0.27,
GRD,Grenada,0,0,0,0,1.147749518,1,0,2,green,0.01,zero.butmadezerosovisible
KOR,South Korea,1.037749043,1.414011575,0,0,0.860409091,1,2.451760618,2,green,1.33,
MDG,Madagascar,0,0,0,0,-2.187350532,1,0,2,green,2.93,
NZL,New Zealand,1.037749043,2.121017363,2.029198625,2.091650066,1.645858651,1,7.279615097,2,green,5.59,
SAU,Saudi Arabia,0,0,0,0,0.893638179,1,0,2,green,1.6,
SDN,Sudan,0,0,2.029198625,0,-2.255941258,2,2.029198625,2,green,0.27,
SYC,Seychelles,1.037749043,1.838215048,0,2.091650066,0.758556552,2,4.967614157,2,green,0.27,
THA,Thailand,0,0,0,0,-1.442113731,1,0,2,green,0.53,
VEN,Venezuela,0,0,0,0,-1.282851419,1,0,2,green,1.6,
VNM,Vietnam,0,0,0,0,-1.765045906,1,0,2,green,1.06,
BEN,Benin,0,0,0,1.045825033,-1.289459055,1,1.045825033,1,blue,0.27,
BRN,Brunei,0,0,0,0,2.827547888,1,0,1,blue,0.27,
CAN,Canada,1.037749043,1.838215048,0,1.045825033,3.17381598,1,3.921789124,1,blue,2.39,
CRI,Costa Rica,2.075498087,0,2.029198625,0,0.475617471,1,4.104696711,1,blue,0.27,
DZA,Algeria,0,1.414011575,0,0,-1.098949504,1,1.414011575,1,blue,0.8,
GNQ,Equatorial Guinea,0,0,0,0,-1.442605435,1,0,1,blue,0.01,zero.butmadezerosovisible
GUY,Guyana,0,0,0,0,0.151901961,1,0,1,blue,0.53,
ITA,Italy,2.075498087,1.414011575,2.029198625,2.091650066,0.600430825,1,7.610358353,1,blue,0.01,zero.butmadezerosovisible
KEN,Kenya,0,0,2.029198625,1.045825033,-1.404367949,1,3.075023658,1,blue,0.53,
KHM,Cambodia,0,0,0,0,-0.707300466,1,0,1,blue,0.27,
LBY,Libya,0,1.414011575,2.029198625,0,-1.233289795,1,3.4432102,1,blue,0.8,
LKA,Sri Lanka,2.075498087,0,0,2.091650066,-0.738338338,1,4.167148153,1,blue,0.01,zero.butmadezerosovisible
MLT,Malta,2.075498087,1.414011575,0,2.091650066,2.18597302,1,5.581159728,1,blue,0.01,zero.butmadezerosovisible
NAM,Namibia,1.037749043,1.13120926,0,0,-0.211322609,1,2.168958303,1,blue,0.27,
NGA,Nigeria,0,0,0,0,-3.794950235,1,0,1,blue,0.53,
SUR,Suriname,0,0,0,0,0.336424699,1,0,1,blue,0.53,
TTO,Trinidad and Tobago,0,0,0,0,1.203767124,1,0,1,blue,0.01,zero.butmadezerosovisible
TUN,Tunisia,0,1.414011575,0,0,-0.012539131,1,1.414011575,1,blue,0.8,
TZA,Tanzania,0,0,0,0,-2.112316837,1,0,1,blue,1.33,
