"binomial","OBJECTID","Shape_Leng","Shape_Area","area","order_name","family_nam","code"
"Aculeola nigra","1",73.1281629007,34.5270698958,403977,"SQUALIFORMES","ETMOPTERIDAE","DD"
"Aetobatus flagellum","2",376.742451579,41.4746819057,477171,"RAJIFORMES","MYLIOBATIDAE","EN"
"Aetobatus narinari","3",5471.36172043,2136.06004431,25432200,"RAJIFORMES","MYLIOBATIDAE","NT"
"Aetomylaeus maculatus","4",855.156186599,99.8956823092,1193160,"RAJIFORMES","MYLIOBATIDAE","EN"
"Aetomylaeus nichofii","5",2629.04207494,297.318767435,3529060,"RAJIFORMES","MYLIOBATIDAE","VU"
"Aetomylaeus vespertilio","6",541.107204457,80.2870106067,959158,"RAJIFORMES","MYLIOBATIDAE","EN"
"Alopias pelagicus","7",3709.98964903,10159.4338991,121058000,"LAMNIFORMES","ALOPIIDAE","VU"
"Alopias superciliosus","8",5330.45836041,16411.952315,191353000,"LAMNIFORMES","ALOPIIDAE","VU"
"Alopias vulpinus","9",7949.33628899,24007.8319822,264335000,"LAMNIFORMES","ALOPIIDAE","VU"
"Amblyraja badia","10",1420.89492371,523.566110489,4147540,"RAJIFORMES","RAJIDAE","LC"
"Amblyraja doellojuradoi","11",807.88438975,162.989456222,1372560,"RAJIFORMES","RAJIDAE","LC"
"Amblyraja frerichsi","12",46.6286457715,13.6966931638,129379,"RAJIFORMES","RAJIDAE","DD"
"Amblyraja georgiana","13",46.9013766284,18.1596547587,138415,"RAJIFORMES","RAJIDAE","DD"
"Amblyraja hyperborea","14",934.599178444,201.913999484,909227,"RAJIFORMES","RAJIDAE","LC"
"Amblyraja jenseni","15",141.451791216,46.5903262983,390134,"RAJIFORMES","RAJIDAE","LC"
"Amblyraja radiata","16",771.090737288,319.082166965,2159900,"RAJIFORMES","RAJIDAE","VU"
"Amblyraja reversa","17",1.3326353811,0.0776800714149,872.363,"RAJIFORMES","RAJIDAE","DD"
"Amblyraja robertsi","18",4.44271334519,0.443147674209,4560.97,"RAJIFORMES","RAJIDAE","LC"
"Amblyraja taaf","19",12.7027920552,5.67281626331,49053.9,"RAJIFORMES","RAJIDAE","DD"
"Anacanthobatis americanus","20",77.9763602083,19.0132484761,227737,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis donghaiensis","21",8.04916905594,4.45978700879,47851.9,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis folirostris","22",24.3049970004,4.59270430339,49816.2,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis longirostris","23",145.808098629,40.4016966763,456391,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis marmoratus","24",17.8492768173,1.98800886436,21759.3,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis nanhaiensis","25",25.6063755888,3.06149754573,35119.6,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis ori","26",13.7968411489,1.87180557237,22261.7,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anacanthobatis stenosoma","27",7.40009547721,4.34946858274,50216.3,"RAJIFORMES","ANACANTHOBATIDAE","DD"
"Anoxypristis cuspidata","28",2757.6489091,296.225868198,3499870,"RAJIFORMES","PRISTIDAE","EN"
"Apristurus albisoma","29",23.1523771394,18.0719344566,202729,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus ampliceps","30",116.974743829,64.8156775272,586853,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus aphyodes","31",179.176234893,75.1776325765,467478,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus australis","32",165.446751071,80.7771930591,856566,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus brunneus","33",343.118525059,114.147307566,1130330,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus bucephalus","34",3.49205179165,0.970376931837,10172.3,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus canutus","35",35.0701356867,8.03223838992,94327.3,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus exsanguis","36",242.508962052,146.520095823,1275200,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus fedorovi","37",19.2639435517,7.04379957357,66094,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus gibbosus","38",14.1055088103,7.42669888667,85320.4,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus herklotsi","39",66.5114452804,28.4063338464,326670,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus indicus","40",136.647509909,75.9259409634,883699,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus internatus","41",21.2550726445,27.34144033,285264,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus investigatoris","42",17.403946184,4.60874936676,55375.8,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus japonicus","43",64.1495170989,24.1216028026,254231,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus kampae","44",122.72184898,40.988080123,435477,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus laurussonii","45",151.257909926,61.4746837628,557009,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus longicephalus","46",622.624506388,225.13980416,2520320,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus macrorhynchus","47",118.763387503,37.1376149872,404113,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus macrostomus","48",8.88199100474,6.08853637488,70530.4,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus manis","49",122.347768417,44.6818001419,376144,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus melanoasper","50",18.316516263,23.2434048302,155274,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus microps","51",82.8005451943,44.8826163445,441161,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus micropterygeus","52",12.0892975103,5.04667164432,58071.5,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus nasutus","53",78.2426101891,27.4766171897,317302,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus parvipinnis","54",215.198184352,92.4590517941,1085900,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus pinguis","55",139.050428393,74.4717410051,767207,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus platyrhynchus","56",144.182419366,58.5088601901,647115,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus profundorum","57",99.8595468781,38.8505035937,383224,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus riveri","58",439.062217447,150.530950994,1728660,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus saldanha","59",35.180813165,26.5557376704,273825,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Apristurus sibogae","60",31.4624296743,11.3420867698,139534,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus sinensis","61",117.433693034,96.3901108417,1081370,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus spongiceps","62",85.6584800713,46.5389031444,535170,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Apristurus stenseni","63",63.0214281034,17.5916195229,215410,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Aptychotrema rostrata","64",121.459007551,29.6956136844,329018,"RAJIFORMES","RHINOBATIDAE","LC"
"Aptychotrema timorensis","65",1.91649774161,0.273495060381,3306.46,"RAJIFORMES","RHINOBATIDAE","VU"
"Aptychotrema vincentiana","66",199.878142891,71.8309212455,751320,"RAJIFORMES","RHINOBATIDAE","LC"
"Arhynchobatis asperrimus","67",42.9175961239,13.6266388281,128909,"RAJIFORMES","ARHYNCHOBATIDAE","DD"
"Asymbolus analis","68",62.1027369612,13.2867152727,137536,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus funebris","69",15.8045434271,5.93283602294,60732.2,"CARCHARHINIFORMES","SCYLIORHINIDAE","DD"
"Asymbolus galacticus","70",5.91109274082,2.77301657,30673.2,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus occiduus","71",66.8007634745,43.3740019302,445264,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus pallidus","72",62.1009263336,37.4354357635,435354,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus parvus","73",54.7872894665,34.4577877946,404769,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus rubiginosus","74",100.098478495,29.6787870909,294797,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus submaculatus","75",38.8173484229,14.7249734516,150362,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Asymbolus vincenti","76",232.323585005,108.09681501,1074490,"CARCHARHINIFORMES","SCYLIORHINIDAE","LC"
"Atelomycterus baliensis","77",0.523959332799,0.0212762604375,258.955,"CARCHARHINIFORMES","SCYLIORHINIDAE","VU"
